index,Rk,Player,Pos,Tm,Cap Hit
137,,Harrison Smith,FS,MIN,5150000
138,139,Rishard Matthews,WR,TEN,5000000
139,,Barry Church,DB,JAX,5000000
140,,Mike Mitchell,DB,PIT,5000000
141,,Logan Ryan,CB,TEN,5000000
142,,Sean Smith,DB,OAK,5000000
143,,Melvin Ingram,DE,LAC,5000000
144,,Derek Carr,QB,OAK,5000000
145,,Jay Cutler,QB,MIA,5000000
146,,Tashaun Gipson,DB,JAX,5000000
147,,Mark Barron,LB,LAR,5000000
148,,Brandon Brooks,G,PHI,5000000
149,,Jason Kelce,OL,PHI,5000000
150,151,Mitchell Schwartz,T,KAN,4900000
151,152,Mychal Kendricks,ILB,PHI,4850000
152,153,Rodger Saffold,T,LAR,4847233
153,154,Tyler Eifert,TE,CIN,4782000
154,155,Tyrann Mathieu,CB,ARI,4750000
155,,Mike Wallace,WR,BAL,4750000
156,,Jeff Allen,T,HOU,4750000
157,,Jamie Collins,OLB,CLE,4750000
158,,Morgan Burnett,DB,GNB,4750000
159,160,Josh Sitton,G,CHI,4650000
160,161,Stephon Gilmore,CB,NWE,4500000
161,,Joe Barksdale,OL,LAC,4500000
162,,Charles Clay,TE,BUF,4500000
163,,Cliff Avril,DE,SEA,4500000
164,,Chris Ivory,RB,JAX,4500000
165,,Bruce Irvin,DE,OAK,4500000
166,,Antonio Gates,TE,LAC,4500000
167,,Whitney Mercilus,DE,HOU,4500000
168,169,James Carpenter,OL,NYJ,4450000
169,170,Demar Dotson,T,TAM,4250000
170,,Rob Gronkowski,TE,NWE,4250000
171,172,Delanie Walker,TE,TEN,4200000
172,,Terron Armstead,OT,NOR,4200000
173,,Bobby Massie,T,CHI,4200000
174,175,Brooks Reed,DL,ATL,4100000
175,,Darius Slay,CB,DET,4100000
176,177,Clint Boling,OL,CIN,4050000
177,,Dustin Colquitt,P,KAN,4050000
178,179,Terrell Suggs,LB-DE,BAL,4000000
179,,Marcedes Lewis,TE,JAX,4000000
180,,Marcus Gilbert,OL,PIT,4000000
181,,Nigel Bradham,OLB,PHI,4000000
182,,Robert Ayers,DE,TAM,4000000
183,,Darren Sproles,RB,PHI,4000000
184,,Bobby Wagner,ILB,SEA,4000000
185,,Shawn Lauvao,G,WAS,4000000
186,,Matt Forte,RB,NYJ,4000000
187,,Eric Weddle,DB,BAL,4000000
188,,Torrey Smith,WR,PHI,4000000
189,,Kenny Britt,WR,2TM,4000000
190,,Jeremy Lane,CB,SEA,4000000
191,,George Iloka,FS,CIN,4000000
192,193,Paul Posluszny,LB,JAX,3950000
193,194,Malcolm Butler,CB,NWE,3910000
194,195,Brian Robison,DE,MIN,3900000
195,,Ron Parker,CB,KAN,3900000
196,,Allen Bailey,DL,KAN,3900000
197,198,Christian Kirksey,OLB,CLE,3797000
198,199,J.R. Sweezy,G,TAM,3750000
199,,Jerrell Freeman,LB,CHI,3750000
200,,Adrian Clayborn,DL,ATL,3750000
